grupo,ano,mes,data,obitos,pop_mensal,taxa_mensal
Total,2020,1,2020-01-01,1291,17646307.666666668,7.315978075337875
Total,2020,2,2020-02-01,1190,17646307.666666668,6.743620379281233
Total,2020,3,2020-03-01,1184,17646307.666666668,6.709618931990739
Total,2020,4,2020-04-01,1077,17646307.666666668,6.103259788643603
Total,2020,5,2020-05-01,1109,17646307.666666668,6.28460084085957
Total,2020,6,2020-06-01,1063,17646307.666666668,6.023923078299117
Total,2020,7,2020-07-01,1036,17646307.666666668,5.870916565491896
Total,2020,8,2020-08-01,1075,17646307.666666668,6.091925972880105
Total,2020,9,2020-09-01,1171,17646307.666666668,6.6359491295280035
Total,2020,10,2020-10-01,1213,17646307.666666668,6.873959260561459
Total,2020,11,2020-11-01,1223,17646307.666666668,6.930628339378948
Total,2020,12,2020-12-01,1200,17646307.666666668,6.800289458098723
Total,2021,1,2021-01-01,1291,17776469.916666668,7.2624092750248375
Total,2021,2,2021-02-01,1216,17776469.916666668,6.8405032365842
Total,2021,3,2021-03-01,1269,17776469.916666668,7.138650170415584
Total,2021,4,2021-04-01,1224,17776469.916666668,6.8855065473512
Total,2021,5,2021-05-01,1216,17776469.916666668,6.8405032365842
Total,2021,6,2021-06-01,1174,17776469.916666668,6.604235855057444
Total,2021,7,2021-07-01,1193,17776469.916666668,6.711118718129071
Total,2021,8,2021-08-01,1362,17776469.916666668,7.661813658081973
Total,2021,9,2021-09-01,1378,17776469.916666668,7.751820279615976
Total,2021,10,2021-10-01,1481,17776469.916666668,8.331237905741117
Total,2021,11,2021-11-01,1352,17776469.916666668,7.605559519623221
Total,2021,12,2021-12-01,1339,17776469.916666668,7.532429139626844
Total,2022,1,2022-01-01,1414,16923396.333333332,8.355296845556357
Total,2022,2,2022-02-01,1304,16923396.333333332,7.705309113582383
Total,2022,3,2022-03-01,1493,16923396.333333332,8.822106216701302
Total,2022,4,2022-04-01,1425,16923396.333333332,8.420295618753753
Total,2022,5,2022-05-01,1326,16923396.333333332,7.835306659977177
Total,2022,6,2022-06-01,1214,16923396.333333332,7.17350096924004
Total,2022,7,2022-07-01,1402,16923396.333333332,8.284389092977376
Total,2022,8,2022-08-01,1314,16923396.333333332,7.764398907398198
Total,2022,9,2022-09-01,1320,16923396.333333332,7.799852783687688
Total,2022,10,2022-10-01,1451,16923396.333333332,8.573929082674875
Total,2022,11,2022-11-01,1380,16923396.333333332,8.154391546582582
Total,2022,12,2022-12-01,1418,16923396.333333332,8.378932763082682
