grupo,ano,mes,data,obitos,pop_mensal,taxa_mensal
Feminino,2010,8,2010-08-01,162,8112400.75,1.996942766911509
Feminino,2010,9,2010-09-01,176,8112400.75,2.1695180677557135
Feminino,2010,10,2010-10-01,192,8112400.75,2.366746983006233
Feminino,2010,11,2010-11-01,181,8112400.75,2.231152103771501
Feminino,2010,12,2010-12-01,169,8112400.75,2.083230417333611
Feminino,2011,1,2011-01-01,176,8187428.333333333,2.149637136772902
Feminino,2011,2,2011-02-01,162,8187428.333333333,1.9786432736205122
Feminino,2011,3,2011-03-01,200,8187428.333333333,2.4427694736055705
Feminino,2011,4,2011-04-01,182,8187428.333333333,2.2229202209810692
Feminino,2011,5,2011-05-01,178,8187428.333333333,2.174064831508958
Feminino,2011,6,2011-06-01,147,8187428.333333333,1.7954355631000944
Feminino,2011,7,2011-07-01,152,8187428.333333333,1.8565047999402338
Feminino,2011,8,2011-08-01,164,8187428.333333333,2.003070968356568
Feminino,2011,9,2011-09-01,170,8187428.333333333,2.076354052564735
Feminino,2011,10,2011-10-01,198,8187428.333333333,2.418341778869515
Feminino,2011,11,2011-11-01,171,8187428.333333333,2.088567899932763
Feminino,2011,12,2011-12-01,189,8187428.333333333,2.3084171525572645
Feminino,2012,1,2012-01-01,205,8258350.75,2.482335834427958
Feminino,2012,2,2012-02-01,196,8258350.75,2.3733552368189255
Feminino,2012,3,2012-03-01,209,8258350.75,2.530771655587528
Feminino,2012,4,2012-04-01,185,8258350.75,2.240156728630108
Feminino,2012,5,2012-05-01,168,8258350.75,2.034304488701936
Feminino,2012,6,2012-06-01,148,8258350.75,1.7921253829040864
Feminino,2012,7,2012-07-01,181,8258350.75,2.191720907470538
Feminino,2012,8,2012-08-01,192,8258350.75,2.3249194156593553
Feminino,2012,9,2012-09-01,162,8258350.75,1.9616507569625812
Feminino,2012,10,2012-10-01,211,8258350.75,2.5549895661673125
Feminino,2012,11,2012-11-01,199,8258350.75,2.409682102688603
Feminino,2012,12,2012-12-01,201,8258350.75,2.4339000132683877
Feminino,2013,1,2013-01-01,201,8568214.916666666,2.3458795321417543
Feminino,2013,2,2013-02-01,190,8568214.916666666,2.217498065208624
Feminino,2013,3,2013-03-01,205,8568214.916666666,2.3925637019356203
Feminino,2013,4,2013-04-01,177,8568214.916666666,2.06577451337856
Feminino,2013,5,2013-05-01,210,8568214.916666666,2.4509189141779526
